Cycle,Time,T_parison,T_mold,T_gob,t_contact,t_cooling,Error,Reward
295,3954.56,991.9939074,378.961667,1123,3.866920045,4.392008755,0.303028982,-0.303028982
296,3967.92,991.9939081,378.9616676,1123,3.866920045,4.392008755,0.30302834,-0.30302834
297,3981.28,991.9939087,378.9616681,1123,3.866920045,4.392008755,0.303027737,-0.303027737
298,3994.64,991.9939093,378.9616687,1123,3.866920045,4.392008755,0.30302717,-0.30302717
299,4008,991.9939098,378.9616691,1123,3.866920045,4.392008755,0.303026638,-0.303026638
300,4021.36,991.9939103,378.9616696,1123,3.866920045,4.392008755,0.303026137,-0.303026137
301,4034.72,991.9939108,378.96167,1123,3.866920045,4.392008755,0.303025667,-0.303025667
302,4048.08,991.9939112,378.9616704,1123,3.866920045,4.392008755,0.303025226,-0.303025226
303,4061.44,991.9939116,378.9616708,1123,3.866920045,4.392008755,0.303024811,-0.303024811
304,4074.8,991.993912,378.9616712,1123,3.866920045,4.392008755,0.303024422,-0.303024422
305,4088.16,991.9939124,378.9616715,1123,3.866920045,4.392008755,0.303024056,-0.303024056
306,4101.52,991.9939127,378.9616718,1123,3.866920045,4.392008755,0.303023712,-0.303023712
307,4114.88,991.993913,378.9616721,1123,3.866920045,4.392008755,0.303023389,-0.303023389
308,4128.24,991.9939133,378.9616724,1123,3.866920045,4.392008755,0.303023086,-0.303023086
309,4141.6,991.9939136,378.9616727,1123,3.866920045,4.392008755,0.303022801,-0.303022801
310,4154.96,991.9939139,378.9616729,1123,3.866920045,4.392008755,0.303022533,-0.303022533
311,4168.32,991.9939141,378.9616732,1123,3.866920045,4.392008755,0.303022282,-0.303022282
312,4181.68,991.9939144,378.9616734,1123,3.866920045,4.392008755,0.303022046,-0.303022046
313,4195.04,991.9939146,378.9616736,1123,3.866920045,4.392008755,0.303021824,-0.303021824
314,4208.4,991.9939148,378.9616738,1123,3.866920045,4.392008755,0.303021615,-0.303021615
315,4221.76,991.993915,378.961674,1123,3.866920045,4.392008755,0.303021419,-0.303021419
316,4235.12,991.9939152,378.9616741,1123,3.866920045,4.392008755,0.303021235,-0.303021235
317,4248.48,991.9939154,378.9616743,1123,3.866920045,4.392008755,0.303021063,-0.303021063
318,4261.84,991.9939155,378.9616744,1123,3.866920045,4.392008755,0.3030209,-0.3030209
319,4275.2,991.9939157,378.9616746,1123,3.866920045,4.392008755,0.303020748,-0.303020748
320,4288.56,991.9939158,378.9616747,1123,3.866920045,4.392008755,0.303020604,-0.303020604
321,4301.92,991.993916,378.9616748,1123,3.866920045,4.392008755,0.30302047,-0.30302047
322,4315.28,991.9939161,378.9616749,1123,3.866920045,4.392008755,0.303020343,-0.303020343
323,4328.64,991.9939162,378.9616751,1123,3.866920045,4.392008755,0.303020225,-0.303020225
324,4342,991.9939163,378.9616752,1123,3.866920045,4.392008755,0.303020113,-0.303020113
325,4355.36,991.9939164,378.9616753,1123,3.866920045,4.392008755,0.303020008,-0.303020008
326,4368.72,991.9939165,378.9616754,1123,3.866920045,4.392008755,0.30301991,-0.30301991
327,4382.08,991.9939166,378.9616754,1123,3.866920045,4.392008755,0.303019817,-0.303019817
328,4395.44,991.9939167,378.9616755,1123,3.866920045,4.392008755,0.30301973,-0.30301973
329,4408.8,991.9939168,378.9616756,1123,3.866920045,4.392008755,0.303019649,-0.303019649
330,4422.16,991.9939169,378.9616757,1123,3.866920045,4.392008755,0.303019572,-0.303019572
331,4435.52,991.9939169,378.9616757,1123,3.866920045,4.392008755,0.3030195,-0.3030195
332,4448.88,991.993917,378.9616758,1123,3.866920045,4.392008755,0.303019432,-0.303019432
333,4462.24,991.9939171,378.9616758,1123,3.866920045,4.392008755,0.303019369,-0.303019369
334,4475.6,991.9939171,378.9616759,1123,3.866920045,4.392008755,0.303019309,-0.303019309
335,4488.96,991.9939172,378.961676,1123,3.866920045,4.392008755,0.303019253,-0.303019253
336,4502.32,991.9939172,378.961676,1123,3.866920045,4.392008755,0.3030192,-0.3030192
337,4515.68,991.9939173,378.9616761,1123,3.866920045,4.392008755,0.303019151,-0.303019151
338,4529.04,991.9939173,378.9616761,1123,3.866920045,4.392008755,0.303019104,-0.303019104
339,4542.4,991.9939174,378.9616761,1123,3.866920045,4.392008755,0.303019061,-0.303019061
340,4555.76,991.9939174,378.9616762,1123,3.866920045,4.392008755,0.30301902,-0.30301902
341,4569.12,991.9939174,378.9616762,1123,3.866920045,4.392008755,0.303018981,-0.303018981
342,4582.48,991.9939175,378.9616762,1123,3.866920045,4.392008755,0.303018945,-0.303018945
343,4595.84,991.9939175,378.9616763,1123,3.866920045,4.392008755,0.303018911,-0.303018911
344,4609.2,991.9939175,378.9616763,1123,3.866920045,4.392008755,0.303018879,-0.303018879
345,4622.56,991.9939176,378.9616763,1123,3.866920045,4.392008755,0.303018849,-0.303018849
346,4635.92,991.9939176,378.9616764,1123,3.866920045,4.392008755,0.303018821,-0.303018821
347,4649.28,991.9939176,378.9616764,1123,3.866920045,4.392008755,0.303018794,-0.303018794
348,4662.64,991.9939177,378.9616764,1123,3.866920045,4.392008755,0.303018769,-0.303018769
349,4676,991.9939177,378.9616764,1123,3.866920045,4.392008755,0.303018746,-0.303018746
350,4689.36,991.9939177,378.9616764,1123,3.866920045,4.392008755,0.303018724,-0.303018724
351,4702.72,991.9939177,378.9616765,1123,3.866920045,4.392008755,0.303018703,-0.303018703
