Variation,Cycle,Time (s),T_gob (Parison Temperature),T_mold (Mold Temperature),t_contact (°),t_cooling (°)
-10% Contact,60,801.6000000000006,970.025120419867,371.5466915196834,95.4,120.0
-10% Contact,61,814.9600000000006,970.023815663053,371.5460943789028,95.4,120.0
-10% Contact,62,828.3200000000006,970.0226425860278,371.54555752309057,95.4,120.0
-10% Contact,63,841.6800000000006,970.0215879061473,371.5450748674333,95.4,120.0
-10% Contact,64,855.0400000000006,970.020639679203,371.5446409410326,95.4,120.0
-10% Contact,65,868.4000000000007,970.0197871649731,371.5442508250102,95.4,120.0
-10% Contact,66,881.7600000000007,970.0190207059294,371.54390009684886,95.4,120.0
-10% Contact,67,895.1200000000007,970.0183316183636,371.5435847803355,95.4,120.0
-10% Contact,68,908.4800000000007,970.0177120942301,371.54330130054865,95.4,120.0
-10% Contact,69,921.8400000000007,970.0171551129557,371.54304644338157,95.4,120.0
-10% Contact,70,935.2000000000007,970.0166543622304,371.5428173191378,95.4,120.0
-10% Contact,71,948.5600000000007,970.0162041664345,371.5426113298063,95.4,120.0
-10% Contact,72,961.9200000000008,970.0157994226648,371.54242613962447,95.4,120.0
-10% Contact,73,975.2800000000008,970.0154355428696,371.542259648617,95.4,120.0
-10% Contact,74,988.6400000000008,970.015108401948,371.5421099688028,95.4,120.0
-10% Contact,75,1002.0000000000008,970.0148142911399,371.5419754027983,95.4,120.0
-10% Contact,76,1015.3600000000008,970.014549875951,371.54185442457907,95.4,120.0
-10% Contact,77,1028.7200000000007,970.014312158411,371.54174566218836,95.4,120.0
-10% Contact,78,1042.0800000000006,970.0140984432164,371.54164788218026,95.4,120.0
-10% Contact,79,1055.4400000000005,970.0139063070425,371.5415599756421,95.4,120.0
-10% Contact,80,1068.8000000000004,970.0137335711947,371.5414809456232,95.4,120.0
-10% Contact,81,1082.1600000000003,970.0135782769828,371.54140989582913,95.4,120.0
-10% Contact,82,1095.5200000000002,970.0134386633665,371.5413460204635,95.4,120.0
-10% Contact,83,1108.88,970.0133131471184,371.5412885950896,95.4,120.0
-10% Contact,84,1122.24,970.0132003048839,371.54123696841526,95.4,120.0
-10% Contact,85,1135.6,970.0130988569213,371.54119055491174,95.4,120.0
-10% Contact,86,1148.9599999999998,970.0130076527546,371.54114882817277,95.4,120.0
-10% Contact,87,1162.3199999999997,970.0129256580536,371.5411113149437,95.4,120.0
-10% Contact,88,1175.6799999999996,970.0128519429095,371.54107758975647,95.4,120.0
-10% Contact,89,1189.0399999999995,970.0127856712995,371.5410472701048,95.4,120.0
-10% Contact,90,1202.3999999999994,970.0127260916436,371.54102001210424,95.4,120.0
-10% Contact,91,1215.7599999999993,970.0126725282112,371.54099550659544,95.4,120.0
-10% Contact,92,1229.1199999999992,970.0126243734918,371.54097347563703,95.4,120.0
-10% Contact,93,1242.479999999999,970.0125810813681,371.5409536693525,95.4,120.0
-10% Contact,94,1255.839999999999,970.0125421607981,371.54093586309773,95.4,120.0
-10% Contact,95,1269.199999999999,970.0125071703719,371.54091985491203,95.4,120.0
-10% Contact,96,1282.5599999999988,970.0124757132432,371.54090546322817,95.4,120.0
-10% Contact,97,1295.9199999999987,970.0124474326336,371.5408925248127,95.4,120.0
-10% Contact,98,1309.2799999999986,970.0124220077689,371.54088089291605,95.4,120.0
-10% Contact,99,1322.6399999999985,970.0123991502894,371.5408704356067,95.4,120.0
-10% Contact,100,1335.9999999999984,970.012378600906,371.54086103427693,95.4,120.0
