Variation,Cycle,Time (s),T_gob (Parison Temperature),T_mold (Mold Temperature),t_contact (°),t_cooling (°)
+10% Cooling,77,1028.7200000000007,959.2543787976375,367.46430112951595,106.0,132.0
+10% Cooling,78,1042.0800000000006,959.2538654290355,367.46405600590776,106.0,132.0
+10% Cooling,79,1055.4400000000005,959.2534028181618,367.4638351156321,106.0,132.0
+10% Cooling,80,1068.8000000000004,959.252985945701,367.4636360627664,106.0,132.0
+10% Cooling,81,1082.1600000000003,959.2526102887995,367.4634566883037,106.0,132.0
+10% Cooling,82,1095.5200000000002,959.2522717719777,367.4632950467196,106.0,132.0
+10% Cooling,83,1108.88,959.2519667228814,367.46314938485637,106.0,132.0
+10% Cooling,84,1122.24,959.2516918323182,367.46301812289903,106.0,132.0
+10% Cooling,85,1135.6,959.2514441183974,367.46289983723443,106.0,132.0
+10% Cooling,86,1148.9599999999998,959.2512208940863,367.4627932450031,106.0,132.0
+10% Cooling,87,1162.3199999999997,959.2510197381256,367.46269719017874,106.0,132.0
+10% Cooling,88,1175.6799999999996,959.2508384685913,367.4626106310319,106.0,132.0
+10% Cooling,89,1189.0399999999995,959.2506751193977,367.4625326288223,106.0,132.0
+10% Cooling,90,1202.3999999999994,959.2505279188331,367.462462337619,106.0,132.0
+10% Cooling,91,1215.7599999999993,959.2503952703673,367.46239899512284,106.0,132.0
+10% Cooling,92,1229.1199999999992,959.2502757353087,367.4623419143983,106.0,132.0
+10% Cooling,93,1242.479999999999,959.2501680172517,367.46229047642197,106.0,132.0
+10% Cooling,94,1255.839999999999,959.2500709479211,367.4622441233678,106.0,132.0
+10% Cooling,95,1269.199999999999,959.2499834746072,367.46220235255487,106.0,132.0
+10% Cooling,96,1282.5599999999988,959.249904648619,367.4621647109996,106.0,132.0
+10% Cooling,97,1295.9199999999987,959.2498336151048,367.4621307904975,106.0,132.0
+10% Cooling,98,1309.2799999999986,959.2497696036949,367.46210022320065,106.0,132.0
+10% Cooling,99,1322.6399999999985,959.2497119201915,367.4620726776248,106.0,132.0
+10% Cooling,100,1335.9999999999984,959.2496599390153,367.46204785505734,106.0,132.0
-10% Cooling,1,13.36,966.082600864546,375.3006161798122,106.0,108.0
-10% Cooling,2,26.72,967.0048102553212,375.82212119354335,106.0,108.0
-10% Cooling,3,40.08,967.8122645186886,376.300783259601,106.0,108.0
-10% Cooling,4,53.44,968.5242313376447,376.7413354012458,106.0,108.0
-10% Cooling,5,66.8,969.1563276497933,377.1477770669222,106.0,108.0
-10% Cooling,6,80.16,969.7210825130267,377.523515320183,106.0,108.0
-10% Cooling,7,93.52,970.2285482684617,377.8714783416913,106.0,108.0
